USER,NOME,MATERIA,TURMA,NOME_PROFESSOR,NOTA_MINIMA,NUMERO_CREDITOS,NUMERO_FALTAS,TIPO_MEDIATeste,Materia,A,Nome professor,5.0,4,0,1
Teste,Nome da materia,A,Ronaldo,5.0,4,0,1
Teste,Materia,A,Nome,5.0,1,0,1
1,1,1,1,1.0,1,0,1
a,a,a,a,5.0,5,0,1
a,a,a,a,1.0,1,0,1
a,a,a,a,1.0,1,0,1
a,a,a,a,1.0,1,0,1
a,a,a,a,1.0,1,0,1
a,a,a,a,1.0,1,0,1
a,a,a,a,1.0,1,0,1
1,1,1,1,1.0,1,0,1
1,2,2,2,2.0,2,0,1
rafinha,F329,a,thiago,5.0,5,0,1
a,a,a,a,1.0,1,0,1
a,1,1,1,1.0,1,0,1
1,1,1,1,1.0,1,0,1
1,1,1,1,1.0,1,0,1
1,1,1,1,1.0,1,0,1
1,2,2,22,2.0,2,0,1
1,1,1,1,1.0,11,0,1
1,1,1,1,1.0,1,0,1
a,1,1,1,1.0,1,0,1
